Name;Type;Ratio;Amount
async;ClyAsyncQuery;0.99;76
atEnd;Boolean;1.00;288
atScope:;Collection;1.00;57
attachPoint:;RSObject;1.00;43
attachSpace;BlElement;1.00;73
attachedShapes;Array;1.00;138
attachedShapesDo:;Array;1.00;82
attributeAssociations;Collection;1.00;43
attributeAt:;String;0.89;33
attributeAxis:;XPathNodeSet;1.00;30
attributes;Collection;0.81;218
average;Number;0.81;44
backend;RGReadOnlyImageBackend;0.92;47
backendForTest:;#yourself;1.00;49
background;BlBackground;1.00;67
background:;#yourself;0.98;112
backgroundColor;Color;0.91;40
baseRectangle;Rectangle;1.00;33
base_Class:;OntoUMLElement;1.00;38
baseline:with:;MetacelloBaselineConstructor;1.00;99
basename;String;1.00;75
basicCheck:;Boolean;1.00;150
basicExecute;#yourself;1.00;39
basicInputCollection;ArrayedCollection;1.00;125
basicInvalidInputCollections;Array;1.00;41
basicOutputCollection;ArrayedCollection;1.00;67
basicParent:;MicElement;1.00;59
basisObjects;Set;0.98;124
basisObjects:;#yourself;1.00;32
basisSize;Integer;1.00;31
beOptional;#yourself;1.00;43
beParentOf:;XPathASTNode;0.94;67
beReadOnly;#yourself;1.00;38
beRequired;#yourself;1.00;51
beVertical;#yourself;1.00;37
before;#yourself;1.00;48
beforeRenderingIn:;RSObject;1.00;53
behaviorAffectedName;Symbol;1.00;37
binaryFrom:;ByteArray;1.00;127
bindAtPosition:;#yourself;1.00;32
bindKeyCombination:toAction:;#yourself;1.00;91
bindTo:;#yourself;1.00;58
black;#soleInstance;1.00;32
blockName;String;1.00;41
bodyString;String;1.00;34
border:;#yourself;0.99;203
borderColor;Color;0.98;49
borderColor:;#yourself;0.98;92
borderStyle;SimpleBorderStyle;1.00;90
borderStyle:;#yourself;1.00;73
borderStyleToUse;SimpleBorderStyle;1.00;32
borderWidth;Integer;1.00;197
borderWidth:;#yourself;1.00;82
bounds:;#yourself;1.00;188
boundsCache;BlBoundsCache;1.00;46
boundsInLocal;BlCachedBounds;1.00;73
boundsInLocal:;BlCachedBounds;1.00;50
breakingChangePreconditions;Array;0.98;80
browser:;#yourself;1.00;47
browserClass;MiAbstractBrowser class;1.00;47
browserClosed;MiAbstractBrowser;1.00;54
buildCommandsGroupWith:forRoot:;SpPresenter class;1.00;52
buildEditorForm:;OPElementController;1.00;75
buildNode:;ToAbstractNodeManager;1.00;37
buildResult:;ClyQuery;0.81;35
buildSuite;TestSuite;1.00;69
buildSuiteNamed:withGlobals:andSubsuites:;TestSuite;1.00;64
buildWidget;Morph;0.98;104
buildsDefaultResult;Boolean;1.00;38
buses;Set;0.96;87
byteOrderMarkBytes;ByteArray;1.00;32
camera;RSCamera;0.93;39
canBeExecuted;Boolean;1.00;158
canBeExecutedInContext:;Boolean;1.00;69
canBeImportedFromFile;Boolean;1.00;30
canBePropagated;Boolean;1.00;96
canBeTargetFor:;Boolean;1.00;61
canConsumeLine:;Boolean;1.00;46
canConvertEncoding:;Boolean;1.00;33
canDrawBorder:;Boolean;1.00;38
canEditBuses;Boolean;1.00;44
canFollow;Boolean;1.00;43
canFollowEntity:;Boolean;1.00;87
canHaveChildren;Boolean;1.00;40
canHaveController;Boolean;1.00;80
canHighlight;Boolean;1.00;38
canPropagate;Boolean;1.00;68
canTagEntities;Boolean;1.00;97
canValidate:;Boolean;1.00;54
canVerify:;Boolean;1.00;88
canvas;RSCanvas;0.96;374
canvas:;#yourself;1.00;138
capacity;Integer;1.00;53
capturingTarget:;BlEvent;1.00;80
category;String;0.88;30
cellColumn:row:;FTCellMorph;1.00;38
cellInset:;#yourself;1.00;32
cellPositioning;Symbol;1.00;45
changeClassName;Symbol;1.00;38
changeString;String;1.00;50
changed;#yourself;1.00;365
characters:;#yourself;1.00;36
chart;RSAbstractChart;1.00;37
check;Boolean;0.90;110
check:forCritiquesDo:;#yourself;1.00;476
checkApplicabilityPreconditions;ReAbstractTransformation;1.00;93
checkBreakingChangePreconditions;ReRefactoring;1.00;57
checkEmptyResult;Boolean;1.00;49
checkPreconditions;ReAbstractTransformation;1.00;129
checked:;#yourself;0.92;46
checksClass;Boolean;1.00;448
checksClassMethod;Boolean;1.00;32
checksMethod;Boolean;1.00;496
checksNode;Boolean;1.00;433
childAxis:;XPathNodeSet;1.00;33
children;Collection;1.00;908
children:;#yourself;0.96;49
childrenCount;Integer;1.00;73
childrenDo:;#yourself;1.00;182
childrenFor:;SequenceableCollection;0.93;38
childrenSelectors;Array;1.00;110
childrenSelectorsIn:;Array;1.00;69
childrenTypesIn:;Array;1.00;61
classDefinitionString;String;1.00;59
classFactory;ClassFactoryForTestCase;1.00;65
classForTestResult;TestResult class;1.00;35
className;Symbol;0.94;121
className:;#yourself;0.83;87
classObjectFor:;RBAbstractClass;1.00;77
classToTest;Object class;1.00;190
classes;Collection;0.88;99
classesDo:;#yourself;1.00;92
cleanUpInstanceVariables;#yourself;1.00;76
clear;#yourself;0.95;38
cliFormatter:;PhLCliCommand;1.00;30
clipRect;Rectangle;1.00;32
clipSubmorphs;Boolean;1.00;101
clipSubmorphs:;#yourself;1.00;43
clippingBounds;Rectangle;1.00;45
close;#yourself;0.95;237
closeMe;MicElement;1.00;68
clusterBucketIn:;IdentityDictionary;1.00;49
clusterMaterializeStepWith:;#yourself;1.00;93
clusterReferencesDo:;#yourself;1.00;45
clusterSerializeStepWith:;#yourself;1.00;93
codingIdiomViolationGroup;Symbol;1.00;31
collection;SequenceableCollection;0.94;58
collectionClass;Object class;1.00;61
color;Color;0.92;277
color:;#yourself;0.96;686
combination;BlCompulsoryCombination;0.99;83
comment:;#yourself;0.95;125
comments;FMSlotMultivalueLink;0.97;60
commit;IceCommitish;0.88;50
commitWithMessage:;IceCommit;1.00;42
compile:classified:;RBAddMethodChange;0.83;49
compileTree:;RBAddMethodChange;1.00;40
compositingMode;BlCompositingWithoutLayerMode;1.00;85
compositionDepth;Integer;1.00;61
computeFullBounds;Morph;1.00;122
conditions;Array;1.00;43
configuration:;#yourself;1.00;81
configurationClass;XMLConfiguration class;0.92;33
configureFor:;MiPresenter;1.00;31
connectPresenters;SpPresenter;1.00;143
connectedLines;RSGroup;1.00;31
constraints;BlLayoutCommonConstraints;0.94;372
constraintsDo:;BlElement;1.00;140
constructor;Symbol;0.97;68
container:;#yourself;0.90;46
containsPoint:;Boolean;1.00;39
containsPoint:alreadyInGeometryBoundsOf:;Boolean;1.00;31
contentString;String;1.00;40
contents;ArrayedCollection;0.85;273
contents:;#yourself;0.91;98
contents:node:;NECEntry;1.00;37
contextMenuActivation;CmdContextMenuActivation;1.00;51
controlPoints;Array;0.86;32
controlPoints:;#yourself;0.92;33
controllerClass;Object class;0.99;203
controllers;Set;0.95;56
copy;#yourself;0.82;81
copyEmpty;Collection;0.86;63
copyOptionsFrom:;ReAbstractTransformation;1.00;45
cornerStyle;Symbol;1.00;97
count;Integer;0.97;39
createCodec;GRNullCodec;0.93;95
createContainerForRegistry;SortedCollection;1.00;34
createDiagramElement;OPDiagramElement;1.00;145
createHandlers;Array;1.00;105
createIteratorOn:;Iterator;1.00;80
createMethodGroupFor:from:;ClyMethodGroup;1.00;30
createMethodQueryFrom:;ClyMethodQuery;0.97;32
createModelIn:andShowInDiagram:;OPElementController;1.00;102
createNewQuery;FQAbstractQuery;1.00;30
createOwnedElementsWithoutController;OPDiagramElement;1.00;109
createQuery;ClyTypedQuery;0.85;66
createRefactoringWithArguments:;ReAbstractTransformation;1.00;32
createRefactoringWithModel:andArguments:;ReAbstractTransformation;1.00;34
createRequest;WARequest;1.00;110
createRequestContext;WARequestContext;1.00;103
createResponse;WABufferedResponse;1.00;99
createSampleScope;ClyTypedScope;0.88;46
createXScale;RSObject;1.00;34
createYScale;RSObject;1.00;31
createdShapes;SequenceableCollection;1.00;40
creationTargetControllerClass;OPController class;1.00;82
critiqueFor:;ReTrivialCritique;0.81;66
currentApplication;SpApplication;1.00;91
currentTarget;BlElement;0.94;113
cursor;AlbTextEditorSingleCursor;0.87;40
customProjectAttributes;Array;1.00;292
dashArray:;#yourself;0.94;34
dataSource;BlInfiniteDataSource;0.82;106
dataSource:;#yourself;1.00;56
declarationSelector:;ClassAnnotation;1.00;38
decorate:;IteratorDecorator;0.84;67
decorateWith:;SpCommand;0.98;99
decoratedBy:;IteratorDecorator;1.00;82
decoratedIterator;Iterator;1.00;69
decoratedIterator:;IteratorDecorator;1.00;66
decoration;WAObject;1.00;55
default:;#yourself;0.98;103
defaultAnchorConstraintPosition;OPRSAnchorConstraintReference;1.00;32
defaultBorderWidth;Integer;1.00;66
defaultBounds;Rectangle;1.00;140
defaultClass;XMLImplicitUTF8StreamConverter class;0.93;42
defaultColor;Color;1.00;253
defaultConfiguration;WAUserConfiguration;0.86;43
defaultContainer;RSCanvas;0.93;39
