Name;Type;Ratio;Amount
defaultRead;Boolean;0.92;35
defaultShortcut;KMKeyCombination;0.94;32
defaultTime;Duration;0.89;42
defaultToken;Array;0.92;34
defaultVisible;Boolean;0.89;34
defined;Collection;0.85;60
definesSelector;RBCondition;1.00;30
definingClass;RBAbstractClass;0.85;58
definitions;SequenceableCollection;0.81;35
delay:;#yourself;1.00;52
delete;#yourself;0.87;190
deny;#yourself;1.00;49
dependencies;Collection;0.90;136
dependent;Collection;0.98;97
descendantAxis;XPathNodeSet;0.90;43
descendantOr;XPathNodeSet;0.89;39
descent;Number;0.86;32
description:;#yourself;0.96;315
deselect;#yourself;0.98;82
destroy;#yourself;1.00;38
detach;#yourself;1.00;109
detects;Boolean;1.00;52
different;FQPropertyQuery;0.94;30
directly;Boolean;0.96;86
disableTable;Boolean;0.98;134
dispatch;#yourself;0.86;403
dispatchChild;BlElement;1.00;61
displayOn;#yourself;0.96;46
displayString;#yourself;0.91;575
distribution;Number;0.95;55
do:;#yourself;0.83;348
doExecute;#yourself;0.89;50
doNot;#yourself;0.86;57
document:;#yourself;0.83;39
documentRoot;XMLNode;0.96;49
draw;#yourself;0.94;447
edges:;#yourself;1.00;53
element:attribute;#soleInstance;1.00;30
elementClass;Object class;0.81;44
elementsTo;SequenceableCollection;0.86;62
emit;#yourself;0.83;34
emulate;#yourself;1.00;35
enable;#yourself;0.97;297
encode:withDERStream;ASN1Stream;0.82;33
encodeOn;#yourself;1.00;46
encoded;ByteArray;0.86;98
encodingNames;Set;0.80;41
encompassing;Rectangle;0.95;277
endElement;#yourself;0.84;87
enqueue;#yourself;0.95;56
ensureCreate;#yourself;0.88;56
ensureDelete;#yourself;0.93;41
ensureHave;#yourself;1.00;56
entityNamed;MooseEntity;0.83;52
environment:;#yourself;1.00;62
equals;Boolean;0.85;34
errorHandler;BlCompositeErrorHandler;0.81;48
errorString;String;0.97;59
events;Array;0.97;371
excluded;Magnitude;0.94;32
executeOn;#yourself;0.90;60
executeQuery;#yourself;0.97;57
exists;Boolean;1.00;87
expects;Boolean;1.00;137
expression:;#yourself;0.82;50
extent:;#yourself;0.90;615
extent:depth;#soleInstance;1.00;42
failed;Array;0.92;160
fetcher;CoFetcher;0.80;53
ffiLibrary;FFILibrary class;0.84;72
fillFrom;#yourself;1.00;59
fillRectangle;#yourself;1.00;46
fillWith;#yourself;0.96;44
finalize;#yourself;0.93;93
findNode;AIGraphNode;1.00;47
finish;#yourself;1.00;38
fit;#yourself;0.89;136
fix;#yourself;0.97;101
flag;#yourself;0.96;54
flush;#yourself;0.92;158
follow;#yourself;0.92;156
followingAxis;XPathNodeSet;0.84;31
followingSiblingAxis;XPathNodeSet;0.83;30
font:;#yourself;1.00;82
forSpec;CmCommandDecorator;0.94;119
force;#yourself;0.98;80
foreground;#yourself;0.89;34
fresh;Integer;0.99;291
from:of;ClyTypedQuery;1.00;94
fromAll;ClyUnionQuery;0.92;34
fullBrowser;CmdCommandActivationStrategy;0.94;62
fullDraw;#yourself;0.97;112
fullDrawOn;Morph;1.00;98
fullName;Symbol;1.00;59
gap;#yourself;0.84;51
gapSize;RSAbstractBoxedLayout;0.91;42
generateChanges;RBRefactoryChange;0.84;208
generateMethod;CompiledMethod;1.00;70
geometryBounds;BlCachedBounds;0.98;83
getTested;Object class;0.98;158
globalPoint;Point;1.00;35
group:;#yourself;0.91;229
grow;#yourself;0.89;42
hFit;BlElement;1.00;32
handle;#yourself;0.86;496
handles;Boolean;1.00;245
has;Boolean;0.98;3934
hash;Integer;0.99;1033
hide;#yourself;0.96;89
highlighted;Boolean;0.87;90
hook;OPElementController;0.97;78
hostClass;#yourself;0.96;50
icon:;#yourself;0.98;103
iconFor;Form;1.00;34
iconName:;#yourself;1.00;74
iconNamed;Form;0.82;54
ifNot;#yourself;0.91;30
ignore;#yourself;0.81;44
in:;#soleInstance;0.91;91
includes;Boolean;0.97;1310
incoming;SequenceableCollection;0.85;304
incomingAccesses;FMSlotMultivalueLink;0.95;35
incomingAssociation;Array;1.00;66
incomingMSEProperties;Array;1.00;92
increment;#yourself;0.88;37
index:;#yourself;0.94;46
indexOf;Integer;0.89;112
infiniteData;BlBasicEventHandler;1.00;32
init;#yourself;0.84;70
initialize;#yourself;0.99;10626
initializeEvent;BlElement;1.00;91
initializePresenters;SpPresenter;1.00;430
innerElement;BlElement;0.94;102
inputCollection;ArrayedCollection;0.98;94
insert;#yourself;0.84;61
instVar;SequenceableCollection;0.83;52
install;#yourself;0.95;433
internal;#yourself;0.83;128
intersections;Collection;1.00;77
intersects;Boolean;1.00;33
into;#yourself;1.00;103
invalidRect;Morph;1.00;167
invalidate;#yourself;1.00;189
invalidation;BlCachedBounds;1.00;37
is;Boolean;0.97;15824
itemCount;Integer;0.80;99
itemsFor;Collection;0.97;39
itemsStarting;SequenceableCollection;1.00;34
j;JQuery;0.81;46
javascript;WAObject;0.97;214
keyAt;String;0.85;45
keyboard;Morph;0.86;48
keysAnd;#yourself;0.99;87
km;KMDispatcher;0.97;37
label:;#yourself;0.95;332
labelShape;RSObject;1.00;38
lastIndex;Integer;0.91;30
layout:;#yourself;0.92;248
layoutIn;#yourself;1.00;124
lines;SequenceableCollection;0.90;45
listClass;Object class;0.91;31
listDirection;#yourself;0.93;56
listElement;ToElement;0.83;125
loads;#yourself;0.93;63
local;Collection;0.96;6357
localBounds;BlCachedBounds;0.89;55
localMethod;MethodDictionary;1.00;3234
localMethods;Array;0.99;3311
localName;String;0.80;57
lock;#yourself;0.96;53
mark;#yourself;0.87;160
marker;RSObject;0.91;100
markerEnd;RSMarker;0.80;41
massage;String;0.94;34
match:in;Boolean;1.00;65
matchParent;#yourself;0.94;118
matches;Boolean;0.81;292
materializePost;#yourself;1.00;47
materializeReferences;#yourself;1.00;71
max:;#yourself;0.95;39
measurementSpec;BlMeasurementSpec;0.86;30
memberEnds;OPUMLToManyLinks;0.84;51
memory;#soleInstance;0.91;40
mergeOwn;OrderedCollection;1.00;71
message:context;PPFailure;1.00;33
metamodel;FMMetaModel;0.81;238
middleElement;ToElement;1.00;35
minClasses;J2Type;0.88;30
minExtent;Point;1.00;171
minHeight;Number;0.85;112
minWidth;Number;0.88;113
minimumExtent;Point;0.84;37
