Name;Type;Ratio;Amount
typed;Object class;0.89;76
typedScope;ClyTypedScope class;0.87;39
unique;#soleInstance;0.81;67
use;Boolean;0.88;37
user;Collection;0.84;102
validator;DTDDoctypeDefinition;0.83;34
valuable;FullBlockClosure;0.84;208
values;SequenceableCollection;0.84;71
var;Collection;0.81;69
was;Boolean;0.98;96
widget;Morph;0.98;57
width;Number;0.83;165
world;WorldMorph;0.97;129
