Name;Type;Ratio;Amount
kMDispatcher;KMDispatcher;1.00;50
key;ArrayedCollection;0.80;437
keys;Collection;0.95;35
kmd;KMDispatcher;1.00;30
lastIndex;Integer;1.00;55
layoutBounds;Rectangle;1.00;124
layoutFrame;LayoutFrame;0.91;30
layoutPolicy;LayoutPolicy;1.00;53
length;Integer;0.92;83
lines;SequenceableCollection;0.97;60
listElement;ToAbstractListElement;0.97;76
listOrRepositoryDescriptions;Array;1.00;302
localName;String;1.00;83
map;Collection;0.92;76
mappingDict;SmallDictionary;1.00;38
marker;RSObject;0.93;38
matches;Collection;0.99;69
materializer;FLMaterializerMock;0.93;38
max;Number;0.81;47
measuredBounds;BlElementLocalBounds;1.00;84
merged;OrderedCollection;0.88;35
mergedBasis;OrderedCollection;1.00;35
mergedScope;ClyTypedScope;1.00;35
messageNode;OCValueNode;0.98;45
metamodel;FMMetaModel;1.00;169
methodGroup;ClyMethodGroup;1.00;31
methodNode;OCProgramNode;0.97;33
methodQuery;ClyMethodQuery;0.97;62
methods;Collection;0.85;52
micBlock;MicAbstractBlock;0.84;38
minExtent;Point;1.00;58
modelElements;Array;1.00;86
mooseGroup;MooseAbstractGroup;0.83;57
mooseID;Integer;1.00;577
mooseModel;MooseModel;0.98;220
mooseName;Symbol;1.00;58
moreParameters;Array;1.00;64
morph;Morph;0.98;409
n;Number;0.83;122
name;Symbol;0.89;558
nameSymbol;Symbol;1.00;67
names;Collection;1.00;34
namespaceScope;XMLNamespaceScope;1.00;31
navigationEnvironment;ClyNavigationEnvironment;1.00;93
neededSpace;Point;1.00;34
newBackground;BlPaintBackground;0.86;30
newBasisObjects;Collection;1.00;52
newBounds;Rectangle;0.91;113
newConverter;XMLStatelessStreamConverter;1.00;41
newDiagramController;OPDiagramController;1.00;49
newDiagramControllerBlock;FullBlockClosure;1.00;49
newEventHandler;BlEventHandler;1.00;33
newExtent;Point;1.00;210
newName;Symbol;1.00;36
newPosition;Point;0.87;62
newProject;MetacelloMCBaselineProject;0.99;300
newProperties;TableLayoutProperties;1.00;48
newResult;ClyQueryResult;0.88;57
newScope;ClyScope;0.98;44
nextChar;Character;1.00;46
nextDictionary;IdentityDictionary;1.00;33
nodeCollection;Collection;1.00;56
nodeList;Collection;0.98;61
nodeManager;ToAbstractNodeManager;1.00;31
nodeSet;XPathNodeSet;0.99;71
nodes;Collection;1.00;139
number;Number;0.94;852
number1;Number;1.00;46
number2;Number;1.00;46
objects;Collection;1.00;99
occupiedRectangles;SortedCollection;1.00;34
oldExtent;Point;1.00;157
oldName;Symbol;0.93;37
oldShareRepositoriesBetweenImages;Boolean;1.00;60
oneArgBlock;FullBlockClosure;0.83;54
options;Collection;0.84;102
orderedCollection;SequenceableCollection;1.00;31
ownUnifiedInstance;ClyTypedQuery;1.00;35
ownedElements;SRToManyLink;1.00;86
owningElement;OPDiagramElement;0.97;84
pPContext;PPContext;1.00;110
packageName;Symbol;0.87;82
packages;Collection;0.95;83
paneColor;Color;1.00;136
parameterCollection;Array;0.98;49
parseTree;OCProgramNode;1.00;88
parsers;Dictionary;0.81;30
pi;XMLPI;0.90;35
point;Point;0.93;614
possibleCanvas;Rectangle;1.00;34
pragmas;SequenceableCollection;1.00;31
precedingSiblings;XMLObservableList;1.00;30
precision;Number;0.95;36
prefix;String;0.96;112
preparedResult;ClyRawQueryResult;0.95;36
presentBlock;FullBlockClosure;0.96;46
presenter;SpPresenter;0.91;344
previousExtent;Point;1.00;49
previousPosition;Point;1.00;51
priorBounds;Rectangle;1.00;118
priority;Integer;0.94;85
project;MetacelloMCBaselineProject;0.86;319
properties;Collection;0.88;180
props;TableLayoutProperties;0.88;61
provider;IceCredentialsProvider class;0.81;60
pt;Point;0.82;31
publicID;String;1.00;44
qualifiedName;String;1.00;49
queries;Array;0.84;37
query2;ClyTypedQuery;0.89;72
queryClass;ClyTypedQuery class;0.89;34
queryGroups;OrderedDictionary;1.00;36
queryResultClass;ClyRawQueryResult class;0.86;37
rBClass;RBAbstractClass;0.94;30
rBNamespace;RBNamespace;1.00;143
rBSmalltalk;RBNamespace;1.00;50
rGBehavior;RGObject;0.83;39
rGObject;RGObject;0.86;30
rSCanvas;RSCanvas;1.00;48
rSShape;RSObjectWithProperty;0.82;36
rbClass;ReAbstractTransformation class;0.91;52
recreatedDiagramController;OPDiagramController;1.00;49
rect;Rectangle;0.96;105
rectangle;Rectangle;0.92;409
refactoring;ReAbstractTransformation;1.00;283
references;Collection;0.92;34
remaining;OrderedCollection;0.81;30
remote;IceRemote;0.97;33
renderContext;WARenderContext;1.00;149
rendererClass;WAHtmlCanvas class;0.90;36
replacement;SequenceableCollection;0.81;38
repositoryDescription;Array;1.00;302
requestContext;WARequestContext;1.00;207
resultItems;OrderedCollection;0.93;37
results;Collection;0.84;67
rewriteString;String;1.00;36
roassalContainer;RSCanvas;0.90;36
roassalShape;RSShape;0.94;167
rope;BlRope;0.97;32
rowIndex;Integer;1.00;45
scope;ClyScope;0.89;198
scopeClass;ClyScope class;0.83;84
scopeClasses;Array;1.00;34
scopeGroups;OrderedDictionary;1.00;35
scripter;BlDevScripter;1.00;41
searcher;OCParseTreeSearcher;0.97;32
selectedNode;CDNode;1.00;44
selectionMode;ToAbstractListSelectionMode;1.00;31
selectionModel;ToSelectionModel;1.00;33
selector;Symbol;0.97;1197
selectors;Collection;0.99;103
sequenceableCollection;SequenceableCollection;0.98;83
serializer;FLSerializerMock;0.86;38
set;Set;0.86;128
shapes;SequenceableCollection;0.99;160
sharedGeneralizations;Collection;1.00;134
simulator;OPSimulator;1.00;40
size;Number;0.95;287
skin;ToSkin;0.98;81
skinEvent;ToSkinEvent;1.00;35
skinEventClass;ToSkinEvent class;1.00;38
